index,starting_n,approx_digits,n_over_1e9
539,141239633209,514,141.239633
540,141412916884,514,141.412917
541,142267185460,514,142.267185
542,142679836174,514,142.679836
543,143291512168,514,143.291512
544,143460712621,514,143.460713
545,143522131581,514,143.522132
546,143649897765,514,143.649898
547,143701365982,514,143.701366
548,144124781467,514,144.124781
549,144136146365,514,144.136146
550,144267384750,514,144.267385
551,144659569462,515,144.659569
552,144845521110,515,144.845521
553,144920834326,515,144.920834
554,145179052957,515,145.179053
555,145406067723,515,145.406068
556,145512369301,515,145.512369
557,145649931242,515,145.649931
558,145893581559,515,145.893582
559,145950274885,515,145.950275
560,146015930981,515,146.015931
561,146272251918,515,146.272252
562,146683678058,515,146.683678
563,147201058417,515,147.201058
564,147336689777,515,147.336690
565,147358713944,515,147.358714
566,147451875854,515,147.451876
567,147454185372,515,147.454185
568,147659365989,515,147.659366
569,147683308082,515,147.683308
570,147743683226,515,147.743683
571,147891794536,515,147.891795
572,148186051228,515,148.186051
573,149012053368,515,149.012053
574,149210411411,515,149.210411
575,149814740059,515,149.814740
576,150141352947,515,150.141353
577,150281889487,515,150.281889
578,150297295890,515,150.297296
579,150616565854,515,150.616566
580,150652059473,515,150.652059
581,150725380753,515,150.725381
582,150915776592,515,150.915777
583,150974614646,515,150.974615
584,152162734309,516,152.162734
585,152744506837,516,152.744507
586,152789753530,516,152.789754
587,152904726575,516,152.904727
588,152907331737,516,152.907332
589,154581742919,516,154.581743
590,154813121843,516,154.813122
591,154831214772,516,154.831215
592,154841960289,516,154.841960
593,154849622426,516,154.849622
594,154973024890,516,154.973025
595,155282936029,516,155.282936
596,155413387351,516,155.413387
597,155710874512,516,155.710875
598,156051074476,516,156.051074
599,156526005356,516,156.526005
600,156710480252,516,156.710480
601,156773751094,516,156.773751
602,157040804680,516,157.040805
603,157089567845,516,157.089568
604,157141773140,516,157.141773
605,157181002636,516,157.181003
606,157452698164,516,157.452698
607,157573077060,516,157.573077
608,157955547233,516,157.955547
609,158361340249,516,158.361340
610,159293236955,516,159.293237
611,159430471996,516,159.430472
612,160093657997,517,160.093658
613,160451317777,517,160.451318
614,160996851395,517,160.996851
615,161040444148,517,161.040444
616,161120637287,517,161.120637
617,162101112079,517,162.101112
618,162115900784,517,162.115901
619,162742040923,517,162.742041
620,162869224963,517,162.869225
621,163190071021,517,163.190071
622,163850531547,517,163.850532
623,164281987788,517,164.281988
624,164527815075,517,164.527815
625,164620045865,517,164.620046
626,164624699440,517,164.624699
627,164872207262,517,164.872207
628,165187200661,517,165.187201
629,165339117253,517,165.339117
630,165575136912,517,165.575137
631,165661268285,517,165.661268
632,165668990497,517,165.668990
633,166607083747,517,166.607084
634,166847461001,517,166.847461
635,167042833851,517,167.042834
636,167350185246,517,167.350185
637,167912330832,518,167.912331
638,167914785368,518,167.914785
639,168181925229,518,168.181925
640,168283371025,518,168.283371
641,168604868160,518,168.604868
642,168700309262,518,168.700309
643,169380958169,518,169.380958
644,169432955848,518,169.432956
645,169873930493,518,169.873930
646,170344242931,518,170.344243
647,170438840233,518,170.438840
648,170622486096,518,170.622486
649,171242234079,518,171.242234
650,171908435073,518,171.908435
651,171935056549,518,171.935057
652,171971403502,518,171.971404
653,172843333077,518,172.843333
654,173204652387,518,173.204652
655,173646143706,518,173.646144
656,173721465569,518,173.721466
657,174592226172,518,174.592226
658,175035923829,518,175.035924
659,175571155381,518,175.571155
660,175719298471,518,175.719298
661,175825247566,518,175.825248
662,176449812428,519,176.449812
663,176780365080,519,176.780365
664,176837893564,519,176.837894
665,176910594747,519,176.910595
666,177420430669,519,177.420431
667,178461679403,519,178.461679
668,178586547574,519,178.586548
669,178747447100,519,178.747447
670,178805665412,519,178.805665
671,178875580402,519,178.875580
672,179230355317,519,179.230355
673,179793240477,519,179.793240
674,180687776450,519,180.687776
675,180714705286,519,180.714705
676,181092904405,519,181.092904
677,181651015937,519,181.651016
678,181937605194,519,181.937605
679,182152915402,519,182.152915
680,182457864795,519,182.457865
681,182501065420,519,182.501065
682,183853791435,519,183.853791
683,183855053786,519,183.855054
684,184063289465,519,184.063289
685,184557367891,519,184.557368
686,184887905278,519,184.887905
687,185348172642,519,185.348173
688,185556943590,520,185.556944
689,185716905753,520,185.716906
690,185995397976,520,185.995398
691,186840786758,520,186.840787
692,187018537639,520,187.018538
693,187863991216,520,187.863991
694,188217309006,520,188.217309
695,188416134014,520,188.416134
696,188972591003,520,188.972591
697,188977194279,520,188.977194
698,189064207208,520,189.064207
699,189329002425,520,189.329002
700,190076663349,520,190.076663
701,190133019361,520,190.133019
702,190407865132,520,190.407865
703,190687574734,520,190.687575
704,190901847788,520,190.901848
705,191092144460,520,191.092144
706,191141967758,520,191.141968
707,191438329085,520,191.438329
708,191863815026,520,191.863815
709,191945949041,520,191.945949
710,191955625230,520,191.955625
711,192046596804,520,192.046597
712,192641412832,520,192.641413
713,192695129511,520,192.695130
714,192758089336,520,192.758089
715,192912011969,520,192.912012
716,193087289845,520,193.087290
717,193160650236,520,193.160650
718,193204136509,520,193.204137
719,193308346680,520,193.308347
720,194187703461,520,194.187703
721,194745059786,520,194.745060
722,194757492538,520,194.757493
723,194902339379,521,194.902339
724,194986195678,521,194.986196
725,195188997153,521,195.188997
726,195658883987,521,195.658884
727,195701543354,521,195.701543
728,195860168439,521,195.860168
729,195917688849,521,195.917689
730,196635889798,521,196.635890
731,196807871883,521,196.807872
732,197540028585,521,197.540029
733,198514016386,521,198.514016
734,198690941556,521,198.690942
735,198789647963,521,198.789648
736,198830954111,521,198.830954
737,198992912472,521,198.992912
738,198996421538,521,198.996422
739,199515980283,521,199.515980
740,199533092590,521,199.533093
741,199620881026,521,199.620881
742,199925278168,521,199.925278
