main_star_n,gap_k
72953483740,4740
72953483741,188
72953483741,1838
72953483741,2852
73145472824,560
73145472824,2624
73145472824,4508
73145472824,4640
73145472825,132
73145472825,1052
73145472825,1784
73145472825,2120
73145472825,3260
73145472825,4304
73145472825,4308
73145472826,2820
73145472826,2954
73145472826,2994
73145472826,3038
73145472826,3462
73145472826,4458
73145472826,4778
73145472827,350
73145472827,368
73145472827,870
73145472827,1494
73145472827,1830
73145472827,2814
73145472827,3348
73145472827,3836
73145472827,4506
73190889378,476
73190889378,1526
73190889378,3512
73190889379,1688
73190889379,2018
73190889379,3488
73190889379,4806
73190889380,500
73190889380,734
73190889380,3134
73190889380,3180
73190889380,3990
73190889380,4910
73190889381,1988
73190889381,3912
73190889381,4428
73190889381,4550
73268767383,1328
73268767383,2228
73268767384,1388
73268767384,1710
73268767384,1718
73268767384,2378
73268767385,810
73268767385,1328
73268767385,4848
73268767385,4958
73268767386,1952
73268767386,2214
73268767386,4112
73268767386,4820
73288859807,1416
73288859807,2828
73288859807,3474
73288859807,3794
73288859807,3906
73288859808,3836
73288859809,3636
73288859809,3656
73288859810,2684
73288859810,3068
73292417435,1290
73292417435,1488
73292417436,774
73292417436,2310
73292417436,2940
73292417437,824
73292417437,1214
73292417437,3818
73292417437,3840
73292417437,4776
73292417438,386
73292417438,1128
73292417438,1416
73292417438,2090
73292417438,2828
73292417438,4068
73292417436,774
73292417436,2310
73292417436,2940
73292417437,824
73292417437,1214
73292417437,3818
73292417437,3840
73292417437,4776
73292417438,386
73292417438,1128
73292417438,1416
73292417438,2090
73292417438,2828
73292417438,4068
73292417439,68
73292417439,1484
73292417439,2238
73292417439,4050
73292417439,4728
73792462785,338
73792462785,582
73792462785,1094
73792462785,1880
73792462785,1908
73792462785,3392
73792462786,318
73792462786,654
73792462786,720
73792462786,2120
73792462786,4070
73792462786,4610
73792462787,86
73792462787,476
73792462787,686
73792462787,2924
73792462787,3090
73792462787,4716
73792462788,3870
74192827003,4436
74192827003,4520
74192827004,348
74192827004,414
74192827004,4986
74192827005,98
74192827005,1934
74192827006,600
74192827006,710
74192827006,1532
74192827006,3530
74586191818,1536
74586191818,4512
74586191819,534
74586191819,666
74586191819,1530
74586191819,1920
74586191819,2424
74586191819,3500
74586191819,3710
74586191819,4524
74586191820,552
74586191820,614
74586191820,1410
74586191820,3062
74586191820,3728
74586191820,4674
74586191821,1832
74586191821,3930
74586191821,4940
75058926742,1638
75058926742,2100
75058926742,2198
75058926742,3476
75058926742,3518
75058926742,3788
75058926743,96
75058926743,306
75058926743,1440
75058926744,278
75058926744,4170
75058926745,530
75058926745,588
75058926745,1430
75058926745,1694
75058926745,2292
75058926745,3728
75058926745,4154
75110822597,134
75110822597,560
75110822597,2216
75110822597,2660
75110822597,3726
75110822597,3848
75110822597,3920
75110822597,4008
75110822598,60
75110822598,996
75110822598,1946
